"Country or Area","Year","Value"
"Australia","2020","400333.466600032"
"Australia","2019","416761.9334163"
"Australia","2018","416283.827446405"
"Australia","2017","414358.311523772"
"Australia","2016","411264.287715373"
"Australia","2015","401793.062460524"
"Australia","2014","393952.875612924"
"Australia","2013","397887.458385894"
"Australia","2012","406150.910037526"
"Australia","2011","403828.772713988"
"Australia","2010","405103.320460765"
"Australia","2009","407065.014946937"
"Australia","2008","404233.066582705"
"Australia","2007","399624.802668437"
"Australia","2006","392384.30217254"
"Australia","2005","386153.53309002"
"Australia","2004","382820.890129487"
"Australia","2003","369279.512308546"
"Australia","2002","361540.810196808"
"Australia","2001","357132.367483772"
"Australia","2000","349635.486902168"
"Australia","1999","343488.632899242"
"Australia","1998","334075.978110115"
"Australia","1997","320282.629502979"
"Australia","1996","311886.128959671"
"Australia","1995","305002.995518983"
"Australia","1994","293696.553098945"
"Australia","1993","288870.536763404"
"Australia","1992","284525.344620763"
"Australia","1991","279528.510123286"
"Australia","1990","278154.156295787"
"Austria","2021","66018.6319228833"
"Austria","2020","62121.2514097573"
"Austria","2019","67956.1576260264"
"Austria","2018","66571.8924005598"
"Austria","2017","69608.6669155922"
"Austria","2016","67226.5746816529"
"Austria","2015","66365.6413301196"
"Austria","2014","64175.9001158921"
"Austria","2013","67776.0419289963"
"Austria","2012","67282.9197990583"
"Austria","2011","69909.2578364639"
"Austria","2010","72017.3226401291"
"Austria","2009","67315.3295314224"
"Austria","2008","73495.4662999774"
"Austria","2007","74117.795661512"
"Austria","2006","76817.4142757296"
"Austria","2005","79097.3991919408"
"Austria","2004","77699.2083472471"
"Austria","2003","77401.8931825332"
"Austria","2002","71974.9369149288"
"Austria","2001","70171.3185565547"
"Austria","2000","66171.7196152302"
"Austria","1999","65671.3107393262"
"Austria","1998","66920.029989044"
"Austria","1997","67285.1255600476"
"Austria","1996","67388.5545971183"
"Austria","1995","64044.058546447"
"Austria","1994","61066.6430199573"
"Austria","1993","60692.1276703096"
"Austria","1992","60266.150188901"
"Austria","1991","65765.655960561"
"Austria","1990","62167.1596694411"
"Belarus","2021","60938.1969138083"
"Belarus","2020","59055.5509338168"
"Belarus","2019","62096.3437385716"
"Belarus","2018","62156.9324464156"
"Belarus","2017","59381.8526803598"
"Belarus","2016","58134.4830934153"
"Belarus","2015","58798.911467351"
"Belarus","2014","63648.8736883813"
"Belarus","2013","64125.5561302636"
"Belarus","2012","62545.2637572874"
"Belarus","2011","61307.5893688778"
"Belarus","2010","62445.1204568916"
"Belarus","2009","60577.7449134509"
"Belarus","2008","62836.4085610229"
"Belarus","2007","60218.1413309429"
"Belarus","2006","61743.5870760037"
"Belarus","2005","59310.2855938971"
"Belarus","2004","58253.5306771906"
"Belarus","2003","55087.9869054627"
